Mineral	Fe	Mn	a
Ulvospinel	0.804	1.196	8.6315
Ulvospinel	0.6	1.4	8.6429
Ulvospinel	0.378	1.622	8.6556
Ulvospinel	0.174	1.826	8.6651
Ulvospinel	0	2	8.6789
Ulvospinel	1.804	0.196	8.557
Ulvospinel	1.604	0.396	8.5688
Ulvospinel	1.424	0.576	8.5837
Ulvospinel	1.218	0.782	8.6004
Ulvospinel	2	0	8.5439
Ulvospinel	1.008	0.992	8.6112
