Mineral,Fe,a
Maghemite,2.667,8.33
Magnetite,2.75,8.3583
Magnetite,2.84,8.3799
Magnetite,2.83,8.3806
Magnetite,2.83,8.3833
Magnetite,2.85,8.3846
Magnetite,2.85,8.3852
Magnetite,3,8.394
Magnetite,3,8.3941
Magnetite,3,8.395
Magnetite,3,8.3958
Magnetite,3,8.3967
Magnetite,3,8.3969
Magnetite,3,8.397
