Mineral	Fe	Mg	a
Chromite	0.6	0.4	8.3577
Chromite	0.65	0.35	8.362
Chromite	0.67	0.33	8.3613
Chromite	0.76	0.24	8.3672
Chromite	0.87	0.13	8.371
Chromite	0.91	0.09	8.3739
Chromite	1	0	8.3765
Magnesiochromite	0	1	8.3327
Magnesiochromite	0.024	0.984	8.334
Magnesiochromite	0.072	0.932	8.3352
Magnesiochromite	0.13	0.87	8.3379
Magnesiochromite	0.2	0.8	8.3415
Magnesiochromite	0.32	0.68	8.3462
Magnesiochromite	0.37	0.63	8.3465
Magnesiochromite	0.33	0.67	8.349
