Mineral	Fe	Mg	a
Hercynite	0.897	0.177	8.1494
Hercynite	0.759	0.303	8.1406
Hercynite	0.76	0.3	8.1396
Hercynite	0.924	0.116	8.1511
Hercynite	0.494	0.544	8.1221
Hercynite	0.878	0.138	8.1584
Hercynite	0.617	0.419	8.1306
Hercynite	0.84	0.19	8.146
Hercynite	0.371	0.648	8.1134
Hercynite	0.292	0.726	8.1071
Hercynite	0.194	0.816	8.1006
Hercynite	0.111	0.89	8.0937
Hercynite	0.046	0.955	8.0895
