mineral name,chemistry,Mg,Fe,Ca,Fe_mol_frac,Ca_mol_frac,a,b,c,beta,V,space group,citation,notes
Clinoenstatite,(Mg1.314Ca0.686)Si2O6,1.314,0,0.686,0,0.343,9.723,8.908,5.25,106.78,435,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 0,34.3"
Clinoenstatite,(Mg1.33Ca0.10Fe0.57)Si2O6,1.33,0.57,0.1,0.3,0.05,9.662,8.893,5.21,108.61,424.2,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 30,5"
Clinoenstatite,(Mg1.40Fe0.60)Si2O6,1.4,0.6,0,0.3,0,9.645,8.878,5.193,108.58,421.4,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 30,0"
clinoenstatite,(Mg1.41Fe0.59)Si2O6,1.41,0.59,0,0.295,0,9.6434,8.8852,5.195,108.548,422.01,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
Clinoenstatite,(Mg1.416Ca0.584)Si2O6,1.416,0,0.584,0,0.292,9.714,8.903,5.25,107.27,433.8,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 0,29.2"
Enstatite,Ca.4 Mg1.6 Si2 O6,1.6,0,0.4,0,0.2,9.7042,8.8805,5.2423,108.084,429.455,The Canadian Mineralogist 43 (2005) 1411-1421,P21/c,Locality: synthetic (Data from synchrotron)
Enstatite,Ca.23 Mg1.77 Si2 O6,1.77,0,0.23,0,0.115,9.69,8.862,5.229,108.31,426.295,European Journal of Mineralogy 14 (2002) 549-555,P21/c,
clinoenstatite,(Mg1.78Fe0.22)Si2O6,1.78,0.22,0,0.11,0,9.6194,8.8396,5.1793,108.438,417.8,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
Enstatite,Ca.2 Mg1.8 Si2 O6,1.8,0,0.2,0,0.1,9.6655,8.8534,5.2138,108.349,423.474,The Canadian Mineralogist 43 (2005) 1411-1421,P21/c,Locality: synthetic
Clinoenstatite,(Mg1.812Ca0.188)Si2O6,1.812,0,0.188,0,0.094,9.653,8.848,5.202,108.41,421.5,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 0,9.4"
Clinoenstatite,O6 Si2 Mg1.85 Ca.15,1.85,0,0.15,0,0.075,9.651,8.846,5.202,108.38,421.453,American Mineralogist 87 (2002) 648-657,P21/c,
Clinoenstatite,O6 Si2 Mg1.85 Ca.15,1.85,0,0.15,0,0.075,9.651,8.846,5.202,108.34,421.551,American Mineralogist 87 (2002) 648-657,P21/c,
Pigeonite,Mg1.85 Ca.15 Si2 O6,1.85,0,0.15,0,0.075,9.646,8.842,5.201,108.35,421.037,American Mineralogist 89 (2004) 189-196,P21/c,
Enstatite,Ca.15 Mg1.85 Si2 O6,1.85,0,0.15,0,0.075,9.654,8.845,5.203,108.37,421.642,European Journal of Mineralogy 14 (2002) 549-555,P21/c,
Pigeonite,Mg1.85 Ca.15 Si2 O6,1.85,0,0.15,0,0.075,9.651,8.846,5.252,108.38,425.504,European Journal of Mineralogy 15 (2003) 903-911,P21/c,
Clinoenstatite,(Mg1.86Ca0.14)Si2O6,1.86,0,0.14,0,0.07,9.65,8.84,5.18,108.45,419.2,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 0,7"
clinoenstatite,Mg2Si2O6,2,0,0,0,0,9.6076,8.8152,5.1702,108.35,415.61,"Angel et al. 1998, Phys Chem Minerals 25:249-258",P21/c,synthetic
Clinoenstatite,Mg2 Si2 O6,2,0,0,0,0,9.606,8.8131,5.17,108.35,415.429,Physics and Chemistry of Minerals 10 (1984) 217-229,P21/c,
Clinoenstatite,Mg2 Si2 O6,2,0,0,0,0,9.62,8.825,5.188,108.33,418.095,Zeitschrift fur Kristallographie 114 (1960) 120-147,P21/c,"Locality: Bishopville, South Carolina meteorite, heat-treated"
Clinoenstatite,Mg2Si2O6,2,0,0,0,0,9.59,8.812,5.159,108.15,414.3,American Mineralogist 58 (1973) 50-59,P21/c,"Synthetic 0,0"
